Nome Atleta,Categoria,Squadra,1 giri Crono atleti contrapposti_CAMPIONATO ITALIANO PISTA  A/J/S,500 m Sprint_CAMPIONATO ITALIANO PISTA  A/J/S,5000 m punti_CAMPIONATO ITALIANO PISTA  A/J/S,10000 m Eliminazione_CAMPIONATO ITALIANO PISTA  A/J/S,3000 m Americana_CAMPIONATO ITALIANO PISTA  A/J/S,1000 m Sprint_CAMPIONATO ITALIANO PISTA  A/J/S,1 giri Crono atleti contrapposti_Campionato italiano su pista cat.R - Trofeo Skate,"1,5 giri Sprint_Campionato italiano su pista cat.R - Trofeo Skate",3000 m punti_Campionato italiano su pista cat.R - Trofeo Skate,5000 m Eliminazione_Campionato italiano su pista cat.R - Trofeo Skate,9 g Americana_Campionato italiano su pista cat.R - Trofeo Skate,2000 m punti_Campionato italiano su pista cat.R - Trofeo Skate,3000 m Eliminazione_Campionato italiano su pista cat.R - Trofeo Skate,Destrezza 2_Giochi Nazionali per Societa' - B.Tiezzi,2 giri Sprint (GE)_Giochi Nazionali per Societa' - B.Tiezzi,Destrezza 1_Giochi Nazionali per Societa' - B.Tiezzi,8 giri In linea_Giochi Nazionali per Societa' - B.Tiezzi,5 giri In linea_Giochi Nazionali per Societa' - B.Tiezzi,42195 m In linea_CAMPIONATO ITALIANO MARATONA J/S/M - CAMPIONATO IT,21.000 m In linea_CAMPIONATO ITALIANO MARATONA J/S/M - CAMPIONATO IT,100 m Sprint in corsia_CAMPIONATO ITALIANO STRADA cat. A/J/S/M,1 giri Sprint_CAMPIONATO ITALIANO STRADA cat. A/J/S/M,10000 m punti_CAMPIONATO ITALIANO STRADA cat. A/J/S/M,15000 m Eliminazione_CAMPIONATO ITALIANO STRADA cat. A/J/S/M,Team sprint_CAMPIONATO ITALIANO STRADA cat. A/J/S/M,5000 m punti_CAMPIONATO ITALIANO STRADA cat. A/J/S/M,10000 m Eliminazione_CAMPIONATO ITALIANO STRADA cat. A/J/S/M,80 m Sprint in corsia_CAMPIONATO ITALIANO STRADA RAGAZZI - TROFEO SKATE,300 m Sprint_CAMPIONATO ITALIANO STRADA RAGAZZI - TROFEO SKATE,3000 m punti_CAMPIONATO ITALIANO STRADA RAGAZZI - TROFEO SKATE,5000 m Eliminazione_CAMPIONATO ITALIANO STRADA RAGAZZI - TROFEO SKATE,Team sprint_CAMPIONATO ITALIANO STRADA RAGAZZI - TROFEO SKATE,200 m Sprint_CAMPIONATO ITALIANO STRADA RAGAZZI - TROFEO SKATE,2000 m punti_CAMPIONATO ITALIANO STRADA RAGAZZI - TROFEO SKATE,3000 m Eliminazione_CAMPIONATO ITALIANO STRADA RAGAZZI - TROFEO SKATE,1 giri Crono atleti contrapposti_CAMPIONATO ITALIANO INDOOR  RAGAZZI - TROFEO SKATE,"1,5 giri Sprint_CAMPIONATO ITALIANO INDOOR  RAGAZZI - TROFEO SKATE",3000 m punti_CAMPIONATO ITALIANO INDOOR  RAGAZZI - TROFEO SKATE,9 g Americana_CAMPIONATO ITALIANO INDOOR  RAGAZZI - TROFEO SKATE,2000 m punti_CAMPIONATO ITALIANO INDOOR  RAGAZZI - TROFEO SKATE,1 giri Crono atleti contr._CAMPIONATO ITALIANO INDOOR CAT.  A/J/S,1000 m Sprint_CAMPIONATO ITALIANO INDOOR CAT.  A/J/S,5000 m punti_CAMPIONATO ITALIANO INDOOR CAT.  A/J/S,3000 m Americana_CAMPIONATO ITALIANO INDOOR CAT.  A/J/S,3000 m punti_CAMPIONATO ITALIANO INDOOR CAT.  A/J/S
VARANI ASJA,SENIORES F,ROLLING BOSICA (TE),"{'classifica': '1', 'pettorina': '476', 'squadra': 'ROLLING BOSICA (TE)', 'tempo': '18.724', 'punti': ''}","{'classifica': '2', 'pettorina': '476', 'squadra': 'ROLLING BOSICA (TE)', 'tempo': '45.945', 'punti': ''}",,,,"{'classifica': '36', 'pettorina': '476', 'squadra': 'ROLLING BOSICA (TE)', 'tempo': '01.37.525', 'punti': ''}",,,,,,,,,,,,,"{'classifica': '34', 'pettorina': '476', 'squadra': 'ROLLING BOSICA (TE)', 'tempo': '', 'punti': ''}",,"{'classifica': '1', 'pettorina': '476', 'squadra': 'ROLLING BOSICA (TE)', 'tempo': '10.485', 'punti': ''}","{'classifica': '1', 'pettorina': '476', 'squadra': 'ROLLING BOSICA (TE)', 'tempo': '35.783', 'punti': ''}",,"{'classifica': '32', 'pettorina': '476', 'squadra': 'ROLLING BOSICA (TE)', 'tempo': '', 'punti': ''}",,,,,,,,,,,,,,,,,"{'classifica': '1', 'pettorina': '476', 'squadra': 'ROLLING BOSICA (TE)', 'tempo': '16.923', 'punti': ''}","{'classifica': '8', 'pettorina': '476', 'squadra': 'ROLLING BOSICA (TE)', 'tempo': '', 'punti': ''}",,,
CARRER ILARIA,SENIORES F,POL.VA CASIER ARL (TV),"{'classifica': '2', 'pettorina': '130', 'squadra': 'POL.VA CASIER ARL (TV)', 'tempo': '19.055', 'punti': ''}","{'classifica': '3', 'pettorina': '130', 'squadra': 'POL.VA CASIER ARL (TV)', 'tempo': '46.139', 'punti': ''}",,,,"{'classifica': '2', 'pettorina': '130', 'squadra': 'POL.VA CASIER ARL (TV)', 'tempo': '01.33.624', 'punti': ''}",,,,,,,,,,,,,"{'classifica': '10', 'pettorina': '130', 'squadra': 'POL.VA CASIER ARL (TV)', 'tempo': '', 'punti': ''}",,"{'classifica': '2', 'pettorina': '130', 'squadra': 'POL.VA CASIER ARL (TV)', 'tempo': '10.675', 'punti': ''}","{'classifica': '6', 'pettorina': '130', 'squadra': 'POL.VA CASIER ARL (TV)', 'tempo': '38.090', 'punti': ''}",,"{'classifica': '18', 'pettorina': '130', 'squadra': 'POL.VA CASIER ARL (TV)', 'tempo': '', 'punti': ''}",,,,,,,,,,,,,,,,,"{'classifica': '5', 'pettorina': '130', 'squadra': 'POL.VA CASIER ARL (TV)', 'tempo': '17.768', 'punti': ''}","{'classifica': '16', 'pettorina': '130', 'squadra': 'POL.VA CASIER ARL (TV)', 'tempo': '', 'punti': ''}",,,
SORCIONOVO ALICE,SENIORES F,LUNA SPORTS ACADEMY (AN),"{'classifica': '3', 'pettorina': '20', 'squadra': 'LUNA SPORTS ACADEMY (AN)', 'tempo': '19.131', 'punti': ''}","{'classifica': '1', 'pettorina': '20', 'squadra': 'LUNA SPORTS ACADEMY (AN)', 'tempo': '45.937', 'punti': ''}",,,,"{'classifica': '14', 'pettorina': '20', 'squadra': 'LUNA SPORTS ACADEMY (AN)', 'tempo': '01.32.023', 'punti': ''}",,,,,,,,,,,,,,,"{'classifica': '12', 'pettorina': '20', 'squadra': 'LUNA SPORTS ACADEMY (AN)', 'tempo': '11.221', 'punti': ''}","{'classifica': '2', 'pettorina': '20', 'squadra': 'LUNA SPORTS ACADEMY (AN)', 'tempo': '36.317', 'punti': ''}",,,,,,,,,,,,,,,,,,,"{'classifica': '2', 'pettorina': '20', 'squadra': 'LUNA SPORTS ACADEMY (AN)', 'tempo': '17.373', 'punti': ''}","{'classifica': '7', 'pettorina': '20', 'squadra': 'LUNA SPORTS ACADEMY (AN)', 'tempo': '01.45.852', 'punti': ''}",,,
BUCCOLINI VALENTINA,SENIORES F,A.P.D.JUVENILIA (MC),"{'classifica': '4', 'pettorina': '240', 'squadra': 'A.P.D.JUVENILIA (MC)', 'tempo': '19.502', 'punti': ''}","{'classifica': '6', 'pettorina': '240', 'squadra': 'A.P.D.JUVENILIA (MC)', 'tempo': '46.338', 'punti': ''}",,,,"{'classifica': '22', 'pettorina': '240', 'squadra': 'A.P.D.JUVENILIA (MC)', 'tempo': '01.34.262', 'punti': ''}",,,,,,,,,,,,,,,"{'classifica': '5', 'pettorina': '240', 'squadra': 'A.P.D.JUVENILIA (MC)', 'tempo': '10.978', 'punti': ''}","{'classifica': '5', 'pettorina': '240', 'squadra': 'A.P.D.JUVENILIA (MC)', 'tempo': '37.559', 'punti': ''}",,"{'classifica': '', 'pettorina': '240', 'squadra': 'A.P.D.JUVENILIA (MC)', 'tempo': '', 'punti': 'NP'}",,,,,,,,,,,,,,,,,"{'classifica': '3', 'pettorina': '240', 'squadra': 'A.P.D.JUVENILIA (MC)', 'tempo': '17.458', 'punti': ''}","{'classifica': '14', 'pettorina': '240', 'squadra': 'A.P.D.JUVENILIA (MC)', 'tempo': '01.43.437', 'punti': ''}",,,
LIBRALESSO ASIA ELSA,SENIORES F,PATT.SPINEA (VE),"{'classifica': '5', 'pettorina': '729', 'squadra': 'PATT.SPINEA (VE)', 'tempo': '19.548', 'punti': ''}","{'classifica': '5', 'pettorina': '729', 'squadra': 'PATT.SPINEA (VE)', 'tempo': '46.086', 'punti': ''}",,,,"{'classifica': '18', 'pettorina': '729', 'squadra': 'PATT.SPINEA (VE)', 'tempo': '01.33.581', 'punti': ''}",,,,,,,,,,,,,,,"{'classifica': '9', 'pettorina': '729', 'squadra': 'PATT.SPINEA (VE)', 'tempo': '11.366', 'punti': ''}","{'classifica': '7', 'pettorina': '729', 'squadra': 'PATT.SPINEA (VE)', 'tempo': '38.777', 'punti': ''}",,"{'classifica': '15', 'pettorina': '729', 'squadra': 'PATT.SPINEA (VE)', 'tempo': '', 'punti': ''}",,,,,,,,,,,,,,,,,"{'classifica': '14', 'pettorina': '729', 'squadra': 'PATT.SPINEA (VE)', 'tempo': '18.670', 'punti': ''}","{'classifica': '17', 'pettorina': '729', 'squadra': 'PATT.SPINEA (VE)', 'tempo': '01.45.447', 'punti': ''}",,,
LAMPITELLI ELENA,SENIORES F,SAVONA IN LINE (SV),"{'classifica': '6', 'pettorina': '407', 'squadra': 'SAVONA IN LINE (SV)', 'tempo': '19.605', 'punti': ''}","{'classifica': '4', 'pettorina': '407', 'squadra': 'SAVONA IN LINE (SV)', 'tempo': '46.456', 'punti': ''}",,,,"{'classifica': '13', 'pettorina': '407', 'squadra': 'SAVONA IN LINE (SV)', 'tempo': '01.31.935', 'punti': ''}",,,,,,,,,,,,,,,"{'classifica': '3', 'pettorina': '407', 'squadra': 'SAVONA IN LINE (SV)', 'tempo': '10.797', 'punti': ''}","{'classifica': '4', 'pettorina': '407', 'squadra': 'SAVONA IN LINE (SV)', 'tempo': '36.567', 'punti': ''}",,,,,,,,,,,,,,,,,,,"{'classifica': '6', 'pettorina': '407', 'squadra': 'SAVONA IN LINE (SV)', 'tempo': '17.808', 'punti': ''}","{'classifica': '9', 'pettorina': '407', 'squadra': 'SAVONA IN LINE (SV)', 'tempo': '01.41.332', 'punti': ''}",,,
LISSANDRON GAIA,SENIORES F,SKATING C.ROVIGO (RO),"{'classifica': '7', 'pettorina': '745', 'squadra': 'SKATING C.ROVIGO (RO)', 'tempo': '20.032', 'punti': ''}","{'classifica': '7', 'pettorina': '745', 'squadra': 'SKATING C.ROVIGO (RO)', 'tempo': '47.088', 'punti': ''}",,,,"{'classifica': '29', 'pettorina': '745', 'squadra': 'SKATING C.ROVIGO (RO)', 'tempo': '01.35.630', 'punti': ''}",,,,,,,,,,,,,,,"{'classifica': '6', 'pettorina': '745', 'squadra': 'SKATING C.ROVIGO (RO)', 'tempo': '11.104', 'punti': ''}","{'classifica': '9', 'pettorina': '745', 'squadra': 'SKATING C.ROVIGO (RO)', 'tempo': '38.037', 'punti': ''}",,,,,,,,,,,,,,,,,,,"{'classifica': '7', 'pettorina': '745', 'squadra': 'SKATING C.ROVIGO (RO)', 'tempo': '18.086', 'punti': ''}","{'classifica': '44', 'pettorina': '745', 'squadra': 'SKATING C.ROVIGO (RO)', 'tempo': '01.52.597', 'punti': ''}",,,
SCASSELLATI ELISA,SENIORES F,FORTITUDO FABRIANO (AN),"{'classifica': '8', 'pettorina': '502', 'squadra': 'FORTITUDO FABRIANO (AN)', 'tempo': '20.201', 'punti': ''}","{'classifica': '8', 'pettorina': '502', 'squadra': 'FORTITUDO FABRIANO (AN)', 'tempo': '47.581', 'punti': ''}",,,,"{'classifica': '40', 'pettorina': '502', 'squadra': 'FORTITUDO FABRIANO (AN)', 'tempo': '01.39.914', 'punti': ''}",,,,,,,,,,,,,"{'classifica': '22', 'pettorina': '502', 'squadra': 'FORTITUDO FABRIANO (AN)', 'tempo': '', 'punti': ''}",,"{'classifica': '10', 'pettorina': '502', 'squadra': 'FORTITUDO FABRIANO (AN)', 'tempo': '11.190', 'punti': ''}","{'classifica': '19', 'pettorina': '502', 'squadra': 'FORTITUDO FABRIANO (AN)', 'tempo': '39.170', 'punti': ''}",,"{'classifica': '24', 'pettorina': '502', 'squadra': 'FORTITUDO FABRIANO (AN)', 'tempo': '', 'punti': ''}",,,,,,,,,,,,,,,,,"{'classifica': '15', 'pettorina': '502', 'squadra': 'FORTITUDO FABRIANO (AN)', 'tempo': '18.768', 'punti': ''}","{'classifica': '24', 'pettorina': '502', 'squadra': 'FORTITUDO FABRIANO (AN)', 'tempo': '01.46.310', 'punti': ''}",,,
POZZATO FRANCESCA,SENIORES F,PATT.SPINEA (VE),"{'classifica': '9', 'pettorina': '201', 'squadra': 'PATT.SPINEA (VE)', 'tempo': '20.231', 'punti': ''}","{'classifica': '12', 'pettorina': '201', 'squadra': 'PATT.SPINEA (VE)', 'tempo': '48.158', 'punti': ''}",,,,"{'classifica': '26', 'pettorina': '201', 'squadra': 'PATT.SPINEA (VE)', 'tempo': '01.35.036', 'punti': ''}",,,,,,,,,,,,,"{'classifica': '40', 'pettorina': '201', 'squadra': 'PATT.SPINEA (VE)', 'tempo': '', 'punti': ''}",,,"{'classifica': '39', 'pettorina': '201', 'squadra': 'PATT.SPINEA (VE)', 'tempo': '40.226', 'punti': ''}",,"{'classifica': '25', 'pettorina': '201', 'squadra': 'PATT.SPINEA (VE)', 'tempo': '', 'punti': ''}",,,,,,,,,,,,,,,,,"{'classifica': '19', 'pettorina': '201', 'squadra': 'PATT.SPINEA (VE)', 'tempo': '19.005', 'punti': ''}","{'classifica': '37', 'pettorina': '201', 'squadra': 'PATT.SPINEA (VE)', 'tempo': '01.49.936', 'punti': ''}",,,
VIO CHIARA,SENIORES F,PATT.SPINEA (VE),"{'classifica': '10', 'pettorina': '34', 'squadra': 'PATT.SPINEA (VE)', 'tempo': '20.299', 'punti': ''}","{'classifica': '11', 'pettorina': '34', 'squadra': 'PATT.SPINEA (VE)', 'tempo': '47.911', 'punti': ''}",,,,"{'classifica': '43', 'pettorina': '34', 'squadra': 'PATT.SPINEA (VE)', 'tempo': '01.41.677', 'punti': ''}",,,,,,,,,,,,,,,"{'classifica': '8', 'pettorina': '34', 'squadra': 'PATT.SPINEA (VE)', 'tempo': '11.252', 'punti': ''}","{'classifica': '23', 'pettorina': '34', 'squadra': 'PATT.SPINEA (VE)', 'tempo': '39.277', 'punti': ''}",,,,,,,,,,,,,,,,,,,"{'classifica': '13', 'pettorina': '34', 'squadra': 'PATT.SPINEA (VE)', 'tempo': '18.621', 'punti': ''}","{'classifica': '52', 'pettorina': '34', 'squadra': 'PATT.SPINEA (VE)', 'tempo': '', 'punti': ''}",,,
